id,観点,名前,普通なら,ここでは,効く理由,CSS,使う場所,効き,手間,出典
overlap/callout-bites,かさなり,吹き出し・注釈箱を対象に噛ませ、尻尾か1px線で刺す,ステップ名は写真の上に見出しとして置く／実績は図の下に凡例として一覧にする,白地・紺枠3pxの吹き出しが写真円の上端に約15px重なり、三角の尻尾が円の内側に刺さる。吹き出しの左端は円の輪郭より外へ出る（sho_kidsduo_s08）。塾名＋実績の白い小箱を地図の上下左右に置き、一部は地図タイルの上に乗せ、各箱から1px級の細線を伸ばして対応する県のタイルに接続する（sho_risu_s05）。,外から刺すことで静止画が発話しているように読め、引き出し線は図と数字を直結して「どこの話か」を読み替える手間を消す,"/* 対象に噛ませて尻尾を内側へ刺す */
.balloon{position:absolute; top:-16px; left:36%; z-index:3;
  background:#fff; border:3px solid #12569e; border-radius:10px; padding:2px 12px}
.balloon::after{content:''; position:absolute; left:14px; bottom:-11px;
  width:14px; height:14px; background:#fff;
  border-left:3px solid #12569e; border-bottom:3px solid #12569e;
  transform:skewX(-25deg)}                   /* 斜めに歪ませると手描き感が出る */

/* 引き出し線で図と数字を直結 */
.callout{position:absolute; z-index:2; background:#fff; border-radius:4px;
  padding:6px 10px; box-shadow:0 1px 3px rgba(0,0,0,.15)}
.callout::after{content:""""; position:absolute; left:50%; top:100%;
  width:1px; height:34px; background:#0d8ea3}",features voice access value,3,2,sho_kidsduo_s08 sho_risu_s05
overlap/circles-interlock,かさなり,円どうしを食い込ませ、欠けさせて噛み合わせる,円は等間隔に並べ、中心の円と線でつないだ関係図にする,直径100pxの円形写真（紺の太リング付き）の左下に、やや小さい時計の円を25px重ね、時計の右側は写真円の下に隠れて見えない（sho_kidsduo_s08）。直径150pxの黄円が上の水色円と右下の紫円の縁に明確に食い込み、重なった側は黄が上に来て下の円を隠す（sho_kimini_s05）。太い白のドーナツの上に臙脂の円を3つ置くが、各円は内側の白い円盤に手前から覆われ、円周の内側寄りが弧で欠ける＝3つとも欠け方が中心方向に揃う（meisei-kg_s05）。,別情報の2円が物理的に噛み合うと1かたまりに見え、線を引かずに「まとめ」「所属」「同時に起きる」の関係が伝わる,"/* 2円を噛み合わせる */
.photo{position:relative; z-index:2; width:100px; aspect-ratio:1;
  border-radius:50%; border:4px solid #12569e; overflow:hidden}
.clock{position:absolute; z-index:1; left:-58px; bottom:6px;
  width:82px; aspect-ratio:1; border-radius:50%; border:4px solid #12569e;
  background:conic-gradient(#f5b731 0 25%,#fff 0)}

/* 中心の円を""まとめ""にする */
.hub{position:absolute; left:50%; top:50%; translate:-50% -50%; z-index:2;
  width:150px; aspect-ratio:1; border-radius:50%; background:#f5d928;
  display:grid; place-items:center; text-align:center; padding:16px}

/* リングに埋め込んで欠けさせる（欠けを中心方向に揃える） */
.ring{position:relative; width:230px; aspect-ratio:1; border-radius:50%; background:#fff}
.dot{position:absolute; z-index:1; width:76px; aspect-ratio:1;
  border-radius:50%; background:#7b2230}
.hole{position:absolute; z-index:2; inset:38px; border-radius:50%; background:#fff}",features value price access,3,2,sho_kidsduo_s08 sho_kimini_s05 meisei-kg_s05
overlap/cutout-breaks-frame,かさなり,切り抜き被写体をマスク・カード・グラフの外へ出す,人物や商品は写真の中／マスクの内側に収め、枠外には何も出さない,背景を抜いたPNGを枠の縁にまたがせる。楕円マスクの左上から跳ぶ男子の上半身が白地へ出る（meisei-es_s07）。講師がカード右辺を越え、下辺からも40px下へ出る（hanamaru_s07）。化粧箱が葡萄写真の下辺を越えて4割はみ出す（ogawa_s13）。ドーナツグラフでは1人が「リングの内・オレンジの弧の線上・リングの外」の3層をまたぐ（sho_smilezemi_s03）。階段状の3枚の面に女の子が足を掛け、段の上端線を脚が隠す（sho_smilezemi_s15）。マスクの中身は写真でなくグラデのベタ面でもよく、人物だけ枠外へ出す（sanrio_s06）。切り抜きには影を付けない。,マスクの縁が「壁」でなく「奥行きの境目」になり、被写体が読者側へ出てくる。図表に跨がせると数字が図表でなく「その子の話」に変わる,".stage{position:relative; overflow:visible}         /* hiddenだと成立しない */
.stage .mask{overflow:hidden; border-radius:50%/40%} /* 楕円・アーチ側だけ切る */
.stage .cutout{position:absolute; z-index:2; filter:none; pointer-events:none}
.cutout.tl{top:-2%;   left:22%;  width:14%}
.cutout.br{right:-4%; bottom:-70px; width:34%}

/* マスクの中身をベタ面にして人物だけ外へ出す版 */
.mask{background:linear-gradient(160deg,#ffd23f,#8a6bd6 55%,#ff5fa2)}
.mask img{position:absolute; left:-10%; bottom:0; width:120%}

/* グラフ・図の縁をまたがせる版 */
.ring{position:relative; overflow:visible; z-index:1}
.ring .cutout{left:50%; bottom:-70px; translate:-50% 0; width:52%; z-index:2}

/* 円の輪郭線を""枠""でなく飾り罫に落とす版 */
.circ{position:relative; width:200px; aspect-ratio:1;
  border:1.5px solid #7fa392; border-radius:50%; overflow:visible}
.circ img{position:absolute; top:-6%; left:-8%; width:120%; max-width:none}",hero features value voice member price,3,2,meisei-kg_s07 meisei-es_s07 hanamaru_s07 sho_hanamaru_s07 ogawa_s13 shoei_s04 sanrio_s06 sho_smilezemi_s03 sho_smilezemi_s15 hanamaru_s04 linie_s03
overlap/seam-erased,かさなり,2カラムの継ぎ目を、またぐ面で覆って消す,左テキスト・右写真の50/50グリッドにして、間にgapの余白を取る,白いカードを写真の左端に約20px食い込ませる。角丸0・枠線0・影0で、純白と黒の明度差だけで手前に見せる（odrive_s05）。写真を100vwの断ち落とし帯（高さ450px）にし、白カードを版面の左マージンぴったり x≒30px まで寄せて写真の左半分に乗せる（unico_s06）。セクション高の85%ある濃紺の正円を写真の右端にまたがせ、円の左3割が写真・右7割が背景に乗って継ぎ目が円の下に完全に消える（ogawa_s05）。見出しの背後の淡グラデ帯を、写真の円弧の下へ潜らせて始点／終点を見せない（koran_s06／s07／s08）。,分割線が要素の下に消えるので2カラムが「分断」でなく1枚の絵になる。帯の端が見えないと「写真の下から続いている」と読め、断絶が完全に消える,"/* カードで写真に食い込ませる（影ゼロ） */
.wrap{display:grid; grid-template-columns:1fr 1fr; align-items:center}
.wrap .card{grid-area:1/1; z-index:2; background:#fff;
  border-radius:0; box-shadow:none; padding:26px 30px; margin-right:-20px}
.wrap figure{grid-area:1/2; z-index:1}

/* 全幅断ち落としの帯＋左マージンまで寄せたカード */
.photo{width:100vw; margin-left:calc(50% - 50vw); height:450px; object-fit:cover; display:block}
.band{position:relative}
.band .card{position:absolute; left:30px; top:145px; width:41%;
  background:#fff; border-radius:20px; padding:36px; box-shadow:0 8px 34px rgba(0,0,0,.10)}

/* 正円で継ぎ目を隠す */
.disc{width:400px; aspect-ratio:1; border-radius:50%; background:#1b3a55;
  margin-left:-140px; align-self:center; position:relative; z-index:2;
  display:grid; place-content:center; color:#fff}

/* 帯の端を写真の弧の下へ潜らせ、始点を見せない */
h2{position:relative; z-index:0; width:min(58%,640px);
  background:linear-gradient(90deg,#e8f0d5,#d3ebe9);
  margin-left:-160px; padding:10px 24px 12px 180px}
figure{position:relative; z-index:2}",about value voice member features,3,2,odrive_s05 unico_s06 ogawa_s05 koran_s06 koran_s07 koran_s08
overlap/text-shaped-plate,かさなり,白い下地を行の形に切って写真に載せる,コメントは写真の外の白い余白に置き、写真とは重ねない,縦組みテキストの背後の白面が写真の左上に食い込み、写真の上端より数px上から始まる。白面の下辺は各行の長さに従って段違い（階段状）になり、その段の下から写真が現れる。矩形の白箱ではないので「貼り付けた感」が消え、写真とコメントが1枚の絵になる。,白の輪郭が文字の形そのものになるため、写真の上に貼った感じが消えて1枚の絵として読める,".quote{position:absolute; top:-10px; left:0; z-index:2;
  writing-mode:vertical-rl; line-height:2.0}
.quote span{                                  /* 行ごとに分けず1本のspanでよい */
  background:#fff; padding:.5em .35em;
  box-decoration-break:clone;
  -webkit-box-decoration-break:clone}         /* ← これが無いと矩形の白箱に戻る */",voice about hero,3,2,shoei_s11
overlap/label-flush-corner,かさなり,ラベルを角に余白ゼロ・角丸ゼロで密着させ、写真の輪郭を枠として使う,タグはキャプションの上に、16px程度の余白を取った角丸ラベルとして置く,はみ出させずに「ツラで密着」させる別解。赤地のINTERVIEW／TEACHERが写真の右端・下端にぴったり接し、マージンも角丸もない（odrive_s12）。氏名の黒ベタ白抜き札が写真の左端にツラで接し、札がカードの縁から生えているように見える（odrive_s06）。赤タグは写真と本文の境目にまたがりつつ、左だけカード左辺に密着（odrive_s02）。文字は10px級・letter-spacing .06〜.08emの欧文大文字。左下と右下に対角で2点置くと釣り合う。,角に余白ゼロで置くと写真の輪郭がそのままラベルの枠になり、枠線も余白も増やさずに情報だけ1つ増える,"figure{position:relative}
.tag{position:absolute; right:0; bottom:0;      /* insetは必ず0。角に密着 */
  margin:0; border-radius:0;                     /* 角丸を消すのが肝 */
  background:#E60012; color:#fff;
  font-size:10px; font-weight:700; letter-spacing:.08em; padding:3px 8px}

/* 写真と本文の境目にまたがせつつ左辺に密着させる版 */
.tag--seam{left:0; right:auto; bottom:-10px}

/* 対角にもう1点（順位プレート） */
.rank{position:absolute; left:0; bottom:-8px; width:30px;
  padding:4px 0 6px; text-align:center; color:#fff;
  background:linear-gradient(#D8B12E,#B8912A)}
.rank b{display:block; font-size:26px; line-height:.9}",features member voice news,2,1,odrive_s12 odrive_s06 odrive_s02
rule/border-as-meaning,罫と枠,枠と線種を装飾でなく「意味の記号」にし、付けるのは一部だけにする,一覧のカードは全部同じ見た目に統一し、強調は色ベタや蛍光マーカーでやる,塗りは全部白のまま、線の種類と色だけで意味を分ける。既存＝黒2px実線、自社＝ピンク2px実線、これから増やせる分＝同じピンクの1.5px破線＋ピンク文字（破線＝未確定という共通認識をそのまま使うので凡例が要らない）。一覧では連載だけ1pxグレー枠＋内側余白10px、単発は枠なしで画像を幅いっぱい、と枠の有無で種別を示す。囲うのをキャプション1つだけに絞り、文字幅＋左右10pxの1px白矩形に入れるのも同じ手。差分の区間は縦の点線1本で示す。,破線＝まだ確定していない枠、という共通認識をそのまま使うので、色を増やさず凡例も足さずに意味が伝わる,".blk{background:#fff;border:2px solid #333;border-radius:10px}
.blk--own{border-color:#e0537f}
.blk--add{border:1.5px dashed #e0537f;color:#e0537f;background:transparent}
/* 枠の有無で種別 */
.card--series{border:1px solid #e3e3e3;border-radius:2px;padding:10px}
.card--plain{border:0;padding:0}
/* キャプションだけ囲う */
.cap{display:inline-block;border:1px solid rgba(255,255,255,.9);border-radius:0;padding:3px 10px;font-size:11px;color:#fff;background:transparent}
/* 差分の区間 */
.gap{position:absolute;left:50%;top:0;bottom:0;border-left:1px dotted #79b7c4}",value features price news,3,1,sho_atama_s08 lumiarch_s06 kobe-wu_s06 sho_atama_s09
rule/color-plane-as-frame,罫と枠,隙間ゼロで色面を突き合わせ、色の変わり目を枠の代わりにする,カードをgap24px＋角丸＋影で等間隔に並べる,gap:0・border-radius:0・box-shadow:none でベタ面を連結し、区切りは色の変わり目1本だけ。3色なら全体が1本の横長バンドに見える。タイル型は1枚だけ grid-row:1/3 で高さを倍にして単調さを消す。ラベルは面の外に出さず面の下端12pxに入れ、罫は群全体の底に1本だけ。見出しの地帯も同じで、角丸・枠線なしの帯を文字より左右へ大きくはみ出させ、端は写真の弧に食わせて切りっぱなしにする。,分割線を引かずに色替えだけで割ると、面の強さが保たれて全体が1つの塊として目に入る,".band{display:grid;grid-template-columns:repeat(3,1fr);gap:0}
.band>*{border-radius:0;box-shadow:none;border:0}
.band>*:nth-child(1){background:#fcd500}
.band>*:nth-child(2){background:#f5a8cd}
.band>*:nth-child(3){background:#26bfa5}
/* 1枚だけ縦2枚ぶんに */
.grid{display:grid;grid-template-columns:46% 27% 27%;grid-template-rows:1fr 1fr;gap:0}
.grid>:first-child{grid-row:1/3}
/* ラベルを面の中へ、罫は底1本 */
.step{border:0;display:flex;align-items:flex-end;justify-content:center;padding-bottom:12px}
.steps{border-bottom:1px solid #e0e6e9}
/* 見出しの地帯を写真に食わせる */
h2{display:inline-block;background:linear-gradient(90deg,#eef3c8,#d9efe8);padding:.5em 3em .5em 2.5em;border-radius:0;position:relative;z-index:0}
figure{position:relative;z-index:1}",cta features value flow,3,1,tanq_s11 kobe-wu_s06 odrive_s07 sho_smilezemi_s15 koran_s05
rule/dissolve-into-ground,罫と枠,枠も影も持たせず、地と同系の塗りだけでカードを立てる,白カードに1pxグレー枠＋グレーの影を付けて背景から明確に切り離す,地が淡色ならカードは白ベタで border:0; box-shadow:none、境界は地（#eaf3f0）との色差だけに任せる。地がテクスチャなら、カードの塗りを背景と同じ方向のグラデ（上=水色→下=黄緑）にし、輪郭はごく淡い緑寄りの落ち影とわずかな明度差だけにして地に溶けかけさせる。カード内の区切り罫もカード幅いっぱいに引かず、左右10〜12px内側で止める。,枠を消して地と同系色にすると、8枚並べても一覧が騒がしくならず全体が1つの「面」として見える,".card{background:#fff;border:0;box-shadow:none;border-radius:4px}
.card hr{border:0;border-top:1px solid #e6e6e6;margin:10px 12px 20px} /* 幅いっぱいに引かない */
/* 地に溶かす版 */
section{background:url(watercolor.jpg) center/cover}
.card--wash{background:linear-gradient(165deg,#a9d5ea 0%,#bfe0a9 100%);border:0;border-radius:14px;box-shadow:0 8px 20px rgba(90,140,120,.18)}",features value price voice,3,1,sho_kimini_s04 ikeda_s03
rule/grid-overlay-visible,罫と枠,版面のカラムグリッドをヘアラインのまま画面に出す,グリッドは実装の裏側にあり、画面には出さない,6カラムぶんの境界を1pxの青紫縦罫でビューポート全高に引き、ガター（15px）の左右2本をペアで見せる。線はナビの日本語ラベルの上も遠慮なく横切らせる。静かなトーンでやるなら、背景色より2〜3段暗いだけのヘアラインを縦1本・横1本だけ交差させ、囲みは作らず交差そのものを見せる。,設計図をそのまま出すと「作りかけ」ではなく「設計している会社」に見え、余白の理由が可視化される,".grid-overlay{position:absolute;inset:0;pointer-events:none;z-index:0;background-repeat:no-repeat;background-position:30px 0;background-size:calc(100% - 60px) 100%;background-image:repeating-linear-gradient(90deg,#9797c9 0 1px,transparent 1px 97px,#9797c9 97px 98px,transparent 98px 112px)}
/* 静かな版：交差だけ見せる */
section{background-color:#f4efe4;background-image:linear-gradient(#e6ddcb 1px,transparent 1px),linear-gradient(90deg,#e6ddcb 1px,transparent 1px);background-size:100% 242px,360px 100%}",hero value features,3,1,unico_s01 yugao_s08
rule/table-no-grid,罫と枠,表の格子罫を全部消し、行は不透明度6%の1本・列は色帯か余白だけにする,tableにborderを回してセルを全部囲い、ヘッダ行に背景色を敷く,"縦罫ゼロ・列見出しの下罫もゼロで、列は padding 20px 24px の余白だけで分ける。行の区切りは rgba(0,0,0,.06) の1本のみ、最終行は0。逆に列を見せたいときは、列そのものを上下角丸14pxのパステル縦帯にして gap 5px の白い隙間で並べ、行の罫は1本も引かない。定義リストは罫ゼロのまま grid 120px 1fr・row-gap 38px、ラベルは字間.2emの欧文大文字にして、位置揃えと行間だけで表として読ませる。",罫が消えると画面上で唯一の線（差し色の枠やグラフの基準線）が意味を持ち、目が数字へ真っ直ぐ行く,"td{border:0;border-bottom:1px solid rgba(0,0,0,.06);padding:20px 24px}
tr:last-child td{border-bottom:0}
th{border:0}
/* 列＝色帯にする版 */
.table{display:grid;grid-template-columns:repeat(6,1fr);gap:5px}
.col{background:#cfe6f7;border-radius:14px;padding:12px;display:grid;gap:12px}
/* 罫ゼロの定義リスト */
dl{display:grid;grid-template-columns:120px 1fr;row-gap:38px;border:0}
dt{color:#b79b5c;letter-spacing:.2em;font-size:12px}
dd{font-family:serif;letter-spacing:.06em}",price access features faq,3,1,sho_globalcrown_s12 yugao_s13 tanq_s05
rule/zero-line-single-hero,罫と枠,セクション内の線をゼロにして、唯一の「形」か「色」を1つに絞る,白カード＋枠線＋影＋キャプションで、情報の単位をはっきり示す,罫・枠・角丸・影・キャプションを全部ゼロにし、面は2〜3階調だけに絞る。残った1つが自動的に主役になる（写真の弧だけ／濃紺の正円だけ／写真の中のライムグリーンだけ／蛍光グリーンのベタ地だけ）。地の色が十分強いときは囲うと逆に情報が分断されるので、黒の線画と本文を直に置き、リンクは右下の矢印グリフ1つで足りる。区切りは40〜45pxのカラム間余白と写真の矩形が担う。差し色は12pxの白い円1点まで。,面から線と色を抜くほど、残した1つの形や彩度が唯一の強さになって視線が迷わない,"section{background:#e9e9ef} /* 面は2〜3階調のみ、アクセント色を定義しない */
.col,.card,figure{background:none;border:0;box-shadow:none;padding:0}
img{border-radius:0;display:block}
.cols{display:grid;grid-template-columns:repeat(3,1fr);gap:40px}
.more{display:block;text-align:right;font-size:18px;text-decoration:none} /* → 1文字だけ */
.dot{width:12px;height:12px;border-radius:50%;background:#fff;display:inline-block;margin-left:10px}
/* 地の色を強くする版 */
section.vivid{background:#8ee063;background-image:url(noise.png);background-blend-mode:multiply}",features voice member value news,3,1,yugao_s01 r-reha_s07 ogawa_s05 gakugei_s07 odrive_s09 shoei_s11
rule/footer-no-rules,罫と枠,フッターは罫を1本も引かず、階層を▶と・と字下げだけで示す,フッター上に境界線、カラム見出しの下に区切り罫、コピーライトの上にも罫を入れる,上のセクションとの境目は色面の切り替わりのみで hr は全廃。7〜8列のサイトマップを縦罫も背景色もなく gap 24〜56px の余白だけで割り、列幅は文字数まかせで不揃いのままにする。第1階層の頭に0.65emの▶（差し色）、第2階層に「・」を置いて階層は記号と字色の濃淡で示す。ナビと住所など情報の種類が変わる所だけ、実線でなくドット点線を1本入れる。,線を持たない代わりに▶が唯一の見出し記号として効き、8列でも圧迫感なく視線が迷わない,"footer{background:#fff;border:0}
footer hr{display:none}
nav{display:grid;grid-template-columns:repeat(8,1fr);gap:0 24px;border:0}
nav h3::before{content:""▶"";color:#9b2c3a;font-size:.65em;margin-right:.5em}
nav li::before{content:""・"";color:#b9a9a5}
.legal{margin-top:56px;font-size:10px;color:#9a9a9a;border:0}
.dotline{height:1px;background-image:radial-gradient(#d9b3b5 1px,transparent 1px);background-size:6px 1px}",footer,2,1,unico_s16 meisei-kg_s15 meisei-es_s16
rule/list-hairline-circle,罫と枠,一覧はカード化せず、極薄罫1本＋線だけの小円で「押せる列」にする,各項目を白カード＋角丸＋影で囲い、末尾に塗りの「詳しく見る」ボタンを置く,"背景・枠・角丸ゼロ、項目の下に1px（#ececef〜rgba(0,0,0,.06)）の罫が1本だけ。右端に直径16〜28pxの円を置き、色を持たせるのはこの円だけに集約する。写真の上なら円も1px線のみで右下16px内側に重ねる。テキストリンクは行全幅でなく文字数ぴったりの下線（offset 5px）。送り矢印は円も背景も影も無い1pxの「く」の字20px。送りボタンは版面の外（bottom:-46px の左右両端）へ引き離し、矢印の軸を円の輪郭から突き抜けさせる。",罫を最小にして色を円1点へ反復させると、行が「押せる場所の列」として一目で読め、カード装飾が全部不要になる,"li{display:flex;justify-content:space-between;align-items:center;padding:14px 0;border-bottom:1px solid #ececef}
li:last-child{border-bottom:0}
.go{width:16px;height:16px;border:1px solid currentColor;border-radius:50%;display:grid;place-content:center;font-size:9px}
/* 写真に重ねる版 */
.more{position:absolute;right:16px;bottom:16px;width:28px;height:28px;border:1px solid rgba(255,255,255,.9);border-radius:50%;display:grid;place-content:center}
.more::after{content:"""";width:10px;height:1px;background:#fff;transform:rotate(-45deg)}
/* 文字幅ぶんだけの下線 */
a.txt{text-decoration:underline;text-decoration-thickness:1px;text-underline-offset:5px}
/* 箱を持たない送り矢印 */
.nav{width:20px;height:20px;padding:0;background:none;border:0;border-left:1px solid #fff;border-bottom:1px solid #fff;border-radius:0;transform:rotate(45deg)}
.nav.next{transform:rotate(-135deg)}
/* 版面の外へ出す */
.pager{position:absolute;bottom:-46px;left:0;right:0;display:flex;justify-content:space-between}",features news member price access,2,1,kobe-wu_s09 shoei_s03 shoei_s08 yugao_s07 kobe-wu_s07 odrive_s11 meikei_s05 musashino_s11
rule/mat-frame,罫と枠,線は要素に密着させず、10〜22px離して外側に回す（額装）,写真に角丸＋ドロップシャドウを付けて浮かせる／図をカードで囲う,写真は角丸0・影0のまま、outline-offset:10px で砂色の1px線を外周に回し、線と写真の間の空気そのものをマット（額の白台紙）にする。色面でやるなら緑ベタの角丸28pxパネルに padding:20px、内側の写真は角丸14pxの二重角丸にして額縁を線でなく面で作る。囲いを主張させたくない図なら inset:-22px の2px点線の円を1本だけ回し、線が図形の背後を横切るようにする。,線と要素の間の空気が「額装された一枚」に見せるので、影を使わずに格が上がる,"img{border-radius:0;box-shadow:none;outline:1px solid #cabfa6;outline-offset:10px}
/* 色面のマット（二重角丸） */
.panel{background:#36c29f;border-radius:28px;padding:20px}
.panel img{display:block;width:100%;border-radius:14px}
/* 主張しない外周 */
.orbit{position:absolute;inset:-22px;border:2px dotted #cbb7b3;border-radius:50%;z-index:0}",hero voice member features,2,1,yugao_s13 sho_seiha_s08 meisei-kg_s05
rule/short-start-mark,罫と枠,短い線1本を「仕切り」でなく「起点」にする,見出しの上下に全幅1pxのボーダーを引いてセクションを切る,横なら幅24〜40px・太さ1〜2pxの線を見出しの上に1本だけ置き、線と文字の間を22〜28pxあける。縦組みなら1px×60pxの縦線をキャプションの頭に立て12pxあける。写真の中へ落とすときは1px×80pxをグラデで消えるように垂らし、途中に11pxの星を1つ置く。セクション内の他の罫はゼロにする。,全幅の罫は面を割るが40px以下の線は「ここから」の印にしかならず、余白の広さを殺さない,"h2::before{content:"""";display:block;width:32px;height:1px;background:#c9a227;margin-bottom:26px}
/* 縦組みの頭に立てる */
.vcap{writing-mode:vertical-rl;font-size:10px;letter-spacing:.3em}
.vcap::before{content:"""";display:block;width:1px;height:60px;margin:0 auto 12px;background:rgba(255,255,255,.85)}
/* 写真の中へ垂らす */
.drop{position:absolute;left:50%;top:0;width:1px;height:80px;background:linear-gradient(#c9ab68,rgba(201,171,104,0))}
.drop::after{content:"""";position:absolute;top:58px;left:-5px;width:11px;height:11px;background:url(star.svg) center/contain no-repeat}",hero value features voice member,2,1,buddies_s01 buddies_s03 buddies_s04 buddies_s05 yugao_s15
rule/single-vertical-hairline,罫と枠,縦罫1本だけで構造を固定し、カード側の装飾を全部外す,2カラムや番号付き項目をカード（枠線・影・背景色）で囲って分ける,左の見出し列と右の一覧の間に#e6e6e6の縦ヘアラインをセクション上下いっぱいに1本だけ通す。項目内でも「番号52px / 罫1px / 本文1fr」の3カラムgridにして、罫そのものをレイアウトの1列として確保する。カード側は border:0; box-shadow:none; background:transparent、サムネイルも border-radius:0。カードを横に並べるときは border-right:1px solid #f0f0f0 の縦ヘアラインだけで仕切る。,縦罫が1本あるだけで2カラムの関係が固定されるので、カード側の枠・影・背景色を全部外しても構造が崩れない,".wrap{display:grid;grid-template-columns:250px 1fr;gap:56px}
.col-l{border-right:1px solid #e6e6e6;padding-right:40px}
.card{background:transparent;border:0;border-radius:0;box-shadow:none;border-right:1px solid #f0f0f0;padding-right:20px}
.card img{border-radius:0}
/* 罫を1カラムとして持つ */
.item{display:grid;grid-template-columns:52px 1px 1fr;column-gap:24px;padding:22px 0}
.item .rule{background:#d8d2c4}
.item .no{font-family:serif;font-size:34px;color:#c9ad6a;line-height:1}",features news value flow,2,1,lumiarch_s05 lumiarch_s08 musashino_s08 odrive_s08
rule/soft-divider,罫と枠,区切りに実線を使わず、点線・ドット・小記号の列に置き換える,段落やブロックの間に1pxの実線を引く,直線の罫を1本も置かず、区切りを離散した記号列で作る。中黒5つ（字間.4em）、直径1.5px・間隔8pxのドット点線、紺の▼3連（縦に積んでステップを送る）、四芒星8個を等間隔で並べ左端1個だけ濃色にして起点を示す、花と点を交互に並べた高さ12pxのオーナメント行など。実線より弱いので上下が割れず1つの塊として読める。実線を残すなら中央に5×7pxの菱形を1つ挟んで飾りに変える。,離散した点列は実線より弱く「切る」に至らないので、分節しつつ上下を1つの塊のまま読ませられる,".dots::before{content:""・・・・・"";letter-spacing:.4em;color:#c8bda6;font-size:11px;display:block;margin:18px 0}
.sep{border:0;border-top:2px dotted rgba(255,214,200,.55);margin:34px 0}
.body{border-top:1px dashed #c9c9c9;padding-top:20px;margin-top:26px}
/* ▼3連で次へ送る */
.arrow{display:grid;gap:6px;justify-items:center;margin:10px 0}
.arrow i{width:0;height:0;border:6px solid transparent;border-top:8px solid #12569e}
/* 四芒星8個、1個目だけ濃色 */
.sparkles{display:flex;gap:6px}
.sparkles i{width:9px;height:9px;background:#fff;clip-path:polygon(50% 0,60% 40%,100% 50%,60% 60%,50% 100%,40% 60%,0 50%,40% 40%)}
.sparkles i:first-child{background:#0d6f8c}
/* 実線を残すなら中央に菱形 */
.rule{position:relative;width:56%;height:1px;margin:14px auto;background:#c9b98a}
.rule::after{content:"""";position:absolute;left:50%;top:-3px;translate:-50% 0;width:5px;height:7px;background:#c9b98a;clip-path:polygon(50% 0,100% 50%,50% 100%,0 50%)}
/* オーナメント行 */
.orn{border:0;height:12px;background:url(flower-dot.svg) repeat-x center/auto 12px;opacity:.55;margin:10px 0}",value features flow voice hero,2,1,linie_s06 meisei-kg_s03 yugao_s08 yugao_s10 kobe-wu_s05 sho_kidsduo_s08 ikeda_s03 musashino_s07
rule/square-paper-shadow,罫と枠,角丸と枠線を捨て、直角＋落ち影だけで「紙」にする,カードは角丸12〜16px＋薄い枠線で柔らげ、ボタンは角丸＋1px枠＋塗りで作る,"カードもボタンも border-radius:0; border:0 にし、境界は影だけが作る。暗地では 0 18px 40px rgba(0,0,0,.55) の強い影で紙のように浮かせ、明地では 0 2px 6px rgba(0,0,0,.08) の淡い影で短冊のように乗せる。ボタンは幅を内容任せにして揃えず（1つだけ2行でも可）、ラベルと矢印の間を18〜28pxあけ、矢印は width:22px;height:1px の線だけ。カード内で使う線はタグ行の上の1px罫のみ。",直角＋影は「紙が乗っている」と読ませるので、線を1本も引かずに地の質感（和紙・黒地）を壊さない,".card{background:#fff;border:0;border-radius:0;box-shadow:0 18px 40px rgba(0,0,0,.55)}
.card .tags{border-top:1px solid #e9e9e9;padding-top:12px;font-size:10px;color:#9a9a9a;letter-spacing:.02em}
.btn{background:#fff;border:0;border-radius:0;box-shadow:0 2px 6px rgba(0,0,0,.08);padding:12px 18px;display:inline-flex;align-items:center;gap:24px;color:#1f5b46;font-size:12px}
.btn::after{content:"""";width:22px;height:1px;background:#333}",news features cta voice,2,1,odrive_s06 koran_s05 koran_s07
rule/tail-only,罫と枠,囲いは描かず、関係を示す最小の付属物だけ描く,吹き出しは角丸枠＋三角の尾で描き、年表の項目は枠か背景色のカードにして軸線に並べる,吹き出しの本体を一切描かず、見出しの左上に直径10→7→4pxの黒丸を3つ斜めに並べて「尾」だけを示す。年表も箱を作らず、横1本の金の軸線と点から24pxの1px縦線（ヒゲ）を上下に伸ばして本文に触れさせるだけで、本文は白地に直置き。文字面が汚れず、項目が増えても画面が格子だらけにならない。,枠を描かないぶん文字面が汚れず、関係（誰の声か・いつのことか）だけが最小のパーツで伝わる,".bubble-tail i{position:absolute;border-radius:50%;background:#111}
.bubble-tail i:nth-child(1){top:-46px;left:-70px;width:10px;height:10px}
.bubble-tail i:nth-child(2){top:-30px;left:-50px;width:7px;height:7px}
.bubble-tail i:nth-child(3){top:-18px;left:-34px;width:4px;height:4px}
/* 軸線＋ヒゲ */
.axis{height:1px;background:#c4a35a}
.item{position:relative;padding-top:24px}
.item::before{content:"""";position:absolute;left:0;top:0;width:1px;height:24px;background:#c4a35a}",voice flow value features,2,1,gakugei_s03 musashino_s11
