id,type,name,priority,summary,when,avoid,slots,exampleIds
numbers/numbers-donut-with-voices,numbers,ドーナツ＋声の並走（左グラフ／右コメント）,1,割合の数字に、生の声を横で並走させて根拠にする型。見出しは中央1行で「ブランド名 の 総合満足度 95.1%」のように指標名と数値を見出し内に入れる（指標名だけアクセント色、数値は周囲の1.4倍級数）。見出しと本体の間32〜40px。本体は2カラム、左38〜42%にドーナツ、右58〜62%にコメント、gap 40〜56px。ドーナツは外径240〜280px、リング太さは半径の40〜45%（穴が直径の55%前後残る）。未達分は薄グレー#E8E8E8、リングは12時起点の時計回り、端は丸めず角のまま。中央の穴に2行、上に指標名12〜14px、下に数値44〜56px（小数部は0.6倍に落として続け、％はさらに小さく）、行間は詰める。右カラムは3本のコメント行で、各行は［円形の顔アイコン40〜48px］＋［本文12〜13px／行間1.7］の横並び、アイコン上端と本文1行目上端を揃える。行間20〜24px、区切り線は入れない。最下部に調査概要を9〜10pxグレーで全幅1行。ここでサイズを極端に落とすことが数値の圧と信頼の両立になる。背景がベタ色のときだけ全体を白カード（角丸8〜12px、アクセント色2〜3px枠、内padding 32〜40px）に収め、白背景なら枠なし。グラフを2枚並べる変奏では、白ボックスに2pxの色罫＋右下に黄色ベタ影を8pxオフセットで敷き、紙を重ねた質感を出す。,満足度・継続率など割合が主役で、数字に裏付けが要るとき / アンケート結果を出典付きで見せるとき / 同じ面に「声」も置きたいがtestimonialセクションを別に取れないとき,コメントが用意できない（→ドーナツ中央型へ） / 割合が3つ以上あり比較が主眼（→比較バー型へ）,見出し / 指標名 / 数値 / グラフ内訳 / コメント3本 / 顔アイコン / 調査注記,sho_winbe_s04 sho_kidsduo_s06 sho_meiko_s09
numbers/numbers-donut-cutout-overlap,numbers,ドーナツ中央＋切り抜き人物のはみ出し,2,1つの割合だけをセンター一点で見せる型。上に2行の見出し（16〜20px、2行目のキーワードを引用符で括る）、見出しと図の間40〜56px。太いドーナツリング（外径300〜360px、リング太さは半径の30〜35%）を中央に。12時起点の時計回り、未達分は極薄グレー。リングの穴の中に上寄せで指標名2行（20〜24px太字、末尾に小さく※）、その下に数値72〜96px（小数部は0.55倍・下端揃え、％はさらに小さく）。数値の重心はリング中心よりやや上に置く。この型の唯一かつ最大の仕掛けは、切り抜き人物（バストアップ）をリングの下端にまたがせること。人物の上半身がリング内側の下部を隠し、肩から下はリングの外へはみ出す。人物のz-indexはリングより上、頭頂が数値の下端に8〜16pxかかる程度、人物の幅はリング外径の55〜65%。これが無いと単なる円グラフに落ちる。背景は白のまま、影も枠も付けない——切り抜きの輪郭が背景に直接乗ることで浮きが出る。注記は本文として出さず「※詳細 ＋」のグレーの小さいピル（10〜11px、角丸フル）に畳み、押して開かせる。上下余白は96〜120pxと大きく取り、この面ではこの1点だけを見せる。,最強の1指標を単独で見せ切るとき / 切り抜き素材（人物・商品）が使えるとき / 前後の面が情報密度が高く、ここで抜きを作りたいとき,切り抜き素材が無い（重なりが作れず凡庸になる） / 同じ面に複数指標を置きたい / 注記を本文として読ませる必要がある,見出し2行 / 指標名 / 数値 / グラフ比率 / 切り抜き人物 / 畳んだ注記,sho_smilezemi_s03
numbers/numbers-compare-bars,numbers,比較バー（前後／他社を1行に積む）,1,数字を単体でなく差として見せる型。行＝1つの比較単位。行の左に60〜80px固定幅のラベル（学年名／期間、2行可）を右揃えで置き、残り全幅がバー領域。バー領域には2〜3本の水平バーを4〜6pxの隙間で縦に重ねる。基準（受講前／他社）は薄グレー、主役（受講後／自社）はブランドの高彩度色。バー高さ18〜24px、角丸はバー高さの半分。バー内にラベル文字を11〜12pxで入れる（グレーバーは黒、色バーは白抜き）。バー長は実データ比に従うが、主役バーが基準より必ず長く見える最小長を確保する。数値は主役バーの右端の外側に置き、主役だけ28〜36pxの極大、基準側の数値は12〜14px——ここで級数差を4倍以上つけるのが肝で、同サイズにすると比較が死ぬ。差分を出す型では行の右端に赤い上向き矢印＋黄色の楕円ふきだしで「+20.3点 UP!」を置き、ふきだしをバー領域の外へはみ出させ、行の高さを超えて上下に少し飛び出させる。行は6行程度まで縦積み、行間8〜12px。全体は薄い白カードに収め、上に「＼ 学力があがった！ ／」の斜線付き小見出しを中央に。下に出典・調査条件を9〜10pxグレーで2〜3行。項目バー変奏では、ラベルを左に置く代わりに項目名を黄色マーカーで敷いたテキストにし、数値だけを右端に右揃えで並べる（バーの代わりにマーカー幅で量を示す）。,受講前後・自社他社など差そのものが主張のとき / 複数の学年/期間で同じ傾向を反復して見せたいとき / 項目別の割合を7個前後まで一覧させたいとき,比較対象が1つしかない / 差が小さくバーで見て違いが分からない / 割合1点を強く見せたい（→ドーナツ型へ）,小見出し / 行ラベル / 基準バーのラベル / 主役バーのラベル / 数値 / 差分コピー / 出典,sho_smilezemi_s02 sho_globalcrown_s02 sho_meiko_s09
numbers/numbers-infographic-canvas,numbers,図版キャンバス（地図・放射図に数字をピン留め）,3,位置に意味がある一枚の図をベタ色のカードに収め、その上に数字と賞ラベルをピン留めする型。カードは角丸8〜16px、幅は全幅の80〜88%、内padding 32〜40px、地色はブランドの濃色（ティール等）。地の図は日本地図・中央ロゴを囲む放射配置など「どこに置くかが情報」であるもので、カード地色の上に白または同系濃色で描く。図の要所に引き出し枠（白の角丸ボックス＋1px枠、11〜13px、2行まで）を6〜10個配置し、対象位置と細い線または小さな丸で結ぶ。各枠の右上に金/黄の円形リボンバッジ（直径32〜44px、「全国No.1」「金メダル」）を-8pxオフセットで重ねる。カード上部にロゴ＋1行のリード（白抜き13〜15px）を置き、図とは16〜24px空ける。情報量が多いときはカード自体をスライド化し、左右に直径40pxの円形矢印ボタンをカードの外周に半分かぶせて配置、下にドットインジケータ。極小注記はカード内左下に8〜9px。設計の肝は役割分担で、カードの外・上には金バッジ付きの見出し帯（太字＋黄色下線）を置いて主張を言い、カードの中は情報だけにする。放射図の変奏では、中央にロゴを置き、周囲に円形に切り抜いた写真6点を等角度で配置、各写真の外側にキャプション2行を放射方向に置き、薄い円弧のガイド線でつなぐ。,全国展開・網羅性など「広がり」が主張のとき / 受賞や実績が地域/カテゴリごとに複数あるとき / メソッドの構成要素を並列に図解したいとき,図版素材を作る工数が取れない / 載せる項目が5個未満（図が間延びする） / スマホ流入が主でスライドを触らせにくい,見出し帯 / バッジ文言 / カードのリード / 図版 / 引き出し枠テキスト / 賞バッジ / 注記 / スライド操作,sho_risu_s05 sho_globalcrown_s02
numbers/numbers-award-emblem,numbers,受賞エンブレム（主張と注釈の極端な級数差）,2,金色のエンブレムで権威を担保し、主張と根拠のサイズ差を極端につける型。骨格は左右2カラムで、主張側60〜65%／エンブレム側35〜40%。主張側は上にアクセント色のベタ帯（白抜き14〜16px）で対象範囲を宣言し（「全国の保護者に一番選ばれている英会話教室」）、その下に白ボックスで結論（「生徒数NO.1」）。NO.1の部分だけ32〜44px、修飾語は16〜20px、語尾に※1を8pxで添える。エンブレム側は金グラデの円形/盾形エンブレムを1〜3個、3個並べるときは中央を1.15倍大きくし左右をわずかに下げて三角配置、各エンブレムの右下に※2※3を8pxで置く。背景には薄い写真（教室風景など）を白オーバーレイ15〜25%で敷き、その上に白帯・白ボックスを重ねる——写真は読ませず雰囲気だけの層にする。注釈は最下部に7〜9pxグレーで3〜4行まとめて畳む。主張と注釈の級数比を5:1以上に開くほど主張が効き、注釈を12pxまで上げると途端に言い訳に見える。賞状見立ての変奏では2カラムのまま、左にエンブレムを幅25%で大きく置き、右に受賞名を明朝20〜24px×2〜3行＋受賞項目を中黒の箇条書き13pxで添え、背景をごく薄いアイボリーのベタにする。,第三者調査のNo.1・受賞歴が根拠として使えるとき / 数字が順位や称号の形でしか出せないとき / 権威づけを1面で済ませたいとき,エンブレム素材が用意できない（素のテキスト組みに落ちて一気に安くなる） / 注釈の条件が多く小さく畳むと誤認を招く / 受賞が1件で内容も薄い（他パターンの一要素として吸収する）,範囲宣言帯 / 結論コピー / エンブレム画像 / 受賞項目リスト / 注釈 / 背景写真,sho_eccjr_s06 sho_zkai_s10 sho_zkai_s09
price/price-plan-cards-hero,price,3列プランカード（中央を主役化）,1,コンテンツ幅960〜1080pxに等幅カード3枚をgrid（gap 20〜24px）。カードは角丸16〜20px、白地＋淡い影か1px枠。中央だけを主役にするために次のうち2つを重ねる：(a)上下に8〜12px高くはみ出す、(b)角に斜め45度のリボンかギザギザ星バッジをカード外周へ4〜8px越えて重ねる（overflow: visible必須）、(c)カード上部30%をプラン色でベタ塗りし白文字にする。カード内は上から、小キャッチ1行（11〜13px・薄色）→プラン名（20〜26px太字）→条件ピル（週25分×2 等、線囲み角丸999px・12px）→価格（36〜48px、数字だけ太く「円/税込」は14pxでベースライン揃え）→丸チェックの特典リスト（各2行まで・行間1.6）→CTA（カード幅−左右24px、高さ48〜52px、角丸999px）。上部を色帯にする場合は価格を必ず白地側に置いてコントラストを作る。割引率（-4% / -7%）はカード右上に小さく色文字で置くと縦の比較が一瞬で終わる。キャンペーン特典はカード下端から下へはみ出す別カード（別色・上端を本体に8〜12px重ねる）にすると、情報量を足しても本体のリズムを壊さない。カード頭は必ず上端揃え、はみ出す特典カードだけ長さが違ってよい。プラン軸が2系統ある場合のみ、grid上部に角丸999pxのセグメントトグル（選択側だけベタ塗り）を置き、トグル下は最低32px空ける。,プランが2〜4つ / プランごとに内容が違う（回数・期間・レベル） / 1つに誘導して決めさせたい / プランごとに個別CTAを置きたい,プランが5つ以上ある / 比較軸が多い（機能可否が6行以上） / 価格が1種類しかない / 価格が要見積もりで出せない,セクション見出し / リード1行 / プランカード×3（小キャッチ/プラン名/条件ピル/価格/割引率/特典リスト/CTA） / 主役バッジ文言 / 特典サブカード / 注記,sho_novakid_s06 sho_ripple_s07
price/price-matrix-grid,price,料金マトリクス（列＝プラン × 行＝回数、全セルが価格）,1,白い角丸パネル1枚（角丸24〜32px、内側padding 上下40px/左右32px）の中を3列gridで割る。列の区切りはブランド色1pxの縦罫を、ヘッダー下からパネル下端まで通しで引く——カードに分割せず「1枚の表」に見せるのがこの型の肝。各列の頭に小さな吹き出しラベル（淡色地・角丸ピル・下向き三角tail・11〜12px、例『気軽に始めるなら』『最もお得!!』）を置き、その下にプラン名（22〜28px太字）。以降は『条件ラベル（12〜13px・グレー・中央）＋価格（20〜24px）』を1セットとし、行間48〜56pxで縦に反復。推し行だけ価格を28〜32pxの太字にすると、視線が縦のプラン比較から横一直線の『同条件比較』に切り替わる。キャンペーンは1セルだけを破線の淡色ボックスで囲い、左上にタブ状の極小ラベル、中は取り消し線の旧価格（12px・グレー）→大きな割引価格（ブランド色28〜32px）。さらに手書き風の吹き出し（-8度回転）をボックス右端に重ねて、そのセルだけ紙のように浮かせる。パネルの上に前置きの白い帯（左寄せ見出し＋補足1行）を重ねると表の前提を説明でき、表本体は数字だけに専念できる。行ラベルは各セルに内包し左端に固定ラベル列を作らないこと（列を等価に保つ）。,全プランが同じ軸（回数・期間）で価格だけ違う / 数字の見比べが購買判断そのもの / 行が4〜6程度に収まる / 特定の条件（週3回など）に誘導したい,プランごとに中身が違い数字で並べられない / 比較軸が2つ以上（回数×期間） / 行が7以上になる / プランごとにCTAを分けたい,前置き見出し＋補足1行 / 列ラベル吹き出し×3 / プラン名×3 / 行条件ラベル（週1〜週5等） / 価格セル / 推し行の指定 / キャンペーンセル（旧価格/新価格/吹き出し）,sho_globalcrown_s10
price/price-feature-compare-table,price,機能比較表（価格＋CTAをヘッダー行に固定、本体は○／−）,2,幅960〜1120pxの表。左端に22〜28%の行ラベル列、右に等幅のプラン列。ヘッダー行は上下padding 24pxで、価格（28〜32px太字／単位『/月』は14px）→税込表記（11px・グレー）→特典の一言（11px・強調色）→CTAボタン（列幅−32px、高さ44px、角丸4〜6px、左にアイコン）を縦に積む。ヘッダーの背景は白のままにし、下辺だけ2pxで締める。以下の比較行は高さ44〜52px、区切りは全幅1pxのhairlineのみで縦罫は引かない（横に読ませるため）。可否は『塗り丸＋白チェック（20px）』と『グレーの短い横棒（12px）』の2記号だけで表し、セルに文章を書かない。値が文字の行（6:00-24:00 等）は13〜14px中央揃え。行ラベルは13px＋下線＋脚注番号（※1）で、条件の但し書きは全部表の外の脚注リスト（11px・行間1.8）へ逃がす。表下には『全プランを表示』の小さなアウトラインボタン（行の折りたたみトグル）を左寄せで置き、さらに下に中央のセカンダリCTA（角丸999pxのピル＋矢印）で次の導線を作る。推し列に色面を敷くより、ヘッダー価格とCTAの色差だけで主役を作るほうが表として読みやすい。,条件・機能の可否が6行以上ある / プラン差が『含まれるか否か』 / 検討期間が長く比較して決める層 / 但し書き・注釈が多い商材,比較軸が3つ以下（表が大げさになる） / 感情で決まる商材 / スマホ流入が主でCVを取りにいく面 / プランが4列以上（横に潰れる）,導入コピー2行 / プラン列見出し（価格/税込/特典一言/CTA） / 行ラベル（脚注番号つき） / 可否セル（○／−） / 値セル（時間・回数） / 全プランを表示トグル / 脚注リスト / セクション末CTA,sho_kimini_s11 sho_kimini_s10
price/price-stack-bar-compare,price,積み上げ棒で内訳比較（他社 vs 自社）,2,左右2カラム（左40〜45%／右55〜60%、gap 48〜64px、上端揃え）。左は小ラベル（囲み or 斜線つき色文字）→見出し2行（32〜40px、キーワードだけブランド色）→黒丸の箇条書き3つ（各2行・強調語のみ太字）→11pxの注記。右は淡いブランド色の角丸パネル（角丸16px、padding 32px）で、その中に『\ 一言の主張 /』を斜線で挟んだラベル→棒2本を左右に並べる。棒は幅100〜120px、上に列見出し（左＝一般の◯◯、右＝自社ロゴ）。左（他社）は複数セグメントを積み上げ、上に行くほど淡いグレー、各セグメント内に11〜13pxのラベル（その他料金／季節講習費／テスト対策費／授業料）。右（自社）は主セグメント1つだけをブランド色でベタ塗りし、追加費用に当たるセグメントは破線の枠だけで塗らない——『無い／薄い』ことを面積の欠落として見せるのが核。2本の全高の差を破線の水平ラインで結び、差分をその場で可視化する。棒の下端は共通ベースラインに揃え、パネル下端に11pxの但し書き。目盛り・軸は出さない（統計図ではなく構造の説明図だと分かる形にする）。面積は必ず実データに比例させること。,総額でなく『内訳・追加費用の有無』が売り / 他社・業界一般との差を言える / 数字を並べても伝わらない構造的優位 / 定額制・込み込みが訴求の中心,比較対象を明示できない / 内訳が1項目しかない / 実際の面積比と乖離する誇張になる / 自社の内訳が他社より多い,セクション小ラベル / 見出し2行 / 箇条書き3点 / 注記 / 図パネル見出し（\ … /） / 他社棒のセグメント名×3〜4 / 自社棒のセグメント名（主＋破線の追加費用） / 差分ラインの説明,sho_atama_s09
price/price-duo-split-band,price,2分割カラーブロック＋境界を跨ぐ共通条件バッジ,3,幅720〜880pxの角丸ブロック1枚（角丸12〜16px、中央寄せ）を縦に50/50で割る。上段は左右それぞれを同系色の濃度違いでベタ塗り（左＝淡、右＝濃）にし、中にプランの構成要素を白い小タグ（角丸4px・11〜12px、例『算数』『国語』『英語』）で横並びにしてから、要素数（『2教科』『3教科』）を22〜28px太字・白で置く。下段は同じ左右分割のまま、上段の各色を10〜15%まで薄めたトーンにして、価格を各面の中央に大きく（28〜36px、数字だけ太く『円』は16px）。左右の境界線上、上段と下段の境目あたりに白地・角丸999pxのバッジを浮かせて両面に跨がせ、そこに共通条件（週2回／税込み）を入れる——共通項を1個所に括ることで『違いは教科数だけ』という関係が説明なしで伝わる。ブロックに影は付けず、色面の差だけで分ける。ブロック外の下に11pxグレーの注記を左寄せ2行（入会金・システム維持費など）。上下の高さ比は上段:下段＝1:1〜1:1.2、面の内側paddingは上下24px。,選択肢がちょうど2つ / 差分が1軸だけ（教科数・回数・時間） / 料金表に大きな面積を割きたくない / 本文の途中に価格を挟みたい,プランが3つ以上 / プランごとに特典・機能が違う / プランごとに個別CTAが必要 / 価格に幅がある（〜円から）,プラン構成タグ（左） / 要素数ラベル（左） / プラン構成タグ（右） / 要素数ラベル（右） / 価格（左） / 価格（右） / 共通条件バッジ / 注記2行,sho_gakken_s10
price/price-offer-band,price,オファー帯（割引・返金保証を切り抜き写真＋吹き出しバッジで一撃）,3,高さ320〜400pxの全幅バンド。背景は白のまま、太い有機的な帯（高さ48〜72pxの緩いS字カーブ、アクセント色ベタ）を左端から右端まで横断させ、コンテンツの背面に敷く（z-index下・overflow hidden）。左カラム（幅30〜38%、左padding 64〜80px）は上からアイコン1つ（王冠など36px・色付き）→太い見出し2行（28〜36px、割合や日数だけ特大）→説明3〜4行（13px・行間1.8・折返し幅280px前後）。右は不定形のブロブ（角丸を不均一にした塗り、またはSVGパス、ブランド色の淡トーン）を敷き、その上に背景透過の人物切り抜き写真をブロブ下端から下にはみ出させて乗せる——矩形でトリミングしないことがこの型の軽さの正体。写真の左上に吹き出しバッジ（濃色の角丸ボックス＋三角tail、中に『14日／返金保証』を2行・白文字）を写真へ25〜35%重ね、バッジ外側に短い放射線を3本添えて視線を止める。左テキストと写真の間は最低64px。CTAは置かず、直前の料金セクションで生じた迷いを潰す役に徹する（1バンド1メッセージ）。,料金セクションの直後に不安を潰したい / 返金保証・兄弟割・期間限定割など単発オファーがある / 使える人物の切り抜き写真がある / 価格表が理詰めで硬いので体温を足したい,伝えたい訴求が複数ある / 切り抜き写真が用意できない（矩形写真だと途端に凡庸な2カラムになる） / 保証条件が長く注釈が必要 / 同じページに同型のバンドが既にある,アイコン / オファー見出し2行 / 条件説明3〜4行 / 切り抜き写真 / 背景ブロブ色 / 保証バッジ（数字＋文言） / 横断帯の色,sho_novakid_s11
compare/compare-matrix-symbol,compare,記号評価の多列マトリクス（自社列ベタ塗り強調）,1,競合カテゴリが3つ以上あるときの総覧表。左端に「比較項目」の見出し列（幅は他列の0.6〜0.7倍、全体の10〜12%）、その右に自社列、さらに競合列を3〜4本。自社列だけ幅を1.1〜1.2倍にして無意識の視線集中を作る。ヘッダ行はブランドの暗色ベタ＋白文字、行高は本文行の0.8倍、括弧書きの補足（対面指導など）は改行して2段目に小さく置く。自社列はヘッダ直下から最終行まで薄いアクセントティント（5〜8%）を1本の縦帯として通し、自社ヘッダの文字色だけアクセント（他は白）にして列の始点を明示する。各セルは上下2段構成＝上に◎○△×の記号（20〜24px）、下に10〜12pxの短評1行。記号は◎=アクセント／○=セカンダリ／△=警告色／×=グレーと、形と色の両方で差をつけ色だけに依存させない。短評は自社のみアクセント色＋太字、競合はグレーの通常ウェイト。罫線は1pxの淡グレー横罫のみ、外枠は付けず全体を角丸でクリップする（縦罫は引かない。引くと自社列の帯が死ぬ）。セル余白は上下14〜18px／左右8〜12px、行数は最大8。表直下に10px・グレー・中央の注記を1行入れて「一例です」と逃がす。表全体の上には黄色などのマーカー帯付き見出しを1本。,競合が業態ごとに複数ある（集団塾/個別/オンライン等） / 項目数が多く、優劣を一覧で言い切りたい / 各セルの説明が10〜15文字で足りる,競合が1つしかない（3列比較の型を使う） / 各セルに2〜3行の説明が必要（読めなくなる） / 記号で断定すると根拠が弱く見える業種,セクション見出し / 比較項目名（8行まで） / 自社列ラベル / 競合列ラベル（3〜4） / 各セルの記号 / 各セルの短評（1行） / 注記,sho_eikenacademy_s07
compare/compare-vs-framed-column,compare,自社1列を枠で抜く3列対比（罫線なし・帯で行分け）,1,競合を「他社◯◯サービス」と一般化して1本にまとめ、項目名／自社／他社の3列で戦う型。列幅比は1 : 2.2 : 1.8で自社をわずかに広く。最大の装置は自社列を囲う太枠（2〜3px・アクセント色・角丸8〜12px）で、これを表の最上行より20〜28px上、最下行より20〜28px下まではみ出させ、表という平面から自社列だけが浮いて見えるようにする。枠内の上部にロゴマーク＋ブランド名、他社列の同じ高さにはグレーの汎用アイコン＋サービス名を置き、対の形は作りつつ彩度で負けさせる。罫線は一切引かず、行の区切りは背景の交替（ごく薄いクリーム／ティント）だけで作る。項目名列は白に抜くと「左=ラベル、右=中身」の関係が読める。セル中身は自社＝丸いチェックアイコン＋太字の結論1行＋10〜11pxの補足2〜3行、他社＝アイコンなし・60%グレー・太字なし。文字量は左右でほぼ同量に揃える（自社だけ長いと盛って見える）。行は3〜5行、上下パディング20〜24pxで行高は中身に応じ可変。,主な競合が1カテゴリに集約できる / 各項目に2〜3行の説明が必要で記号では足りない / ブランドの世界観を壊さずに比較したい（罫線の事務感を出したくない）,比較軸が6項目以上ある（縦に間延びする） / 競合を実名で並べたい / 自社の優位が説明を要さず記号で足りる場合（多列マトリクスの方が速い）,項目名（3〜5） / 自社ロゴ・サービス名 / 他社サービス名 / 自社セル：結論1行＋補足 / 他社セル：結論1行＋補足,sho_globalcrown_s12
compare/compare-spec-cards,compare,項目名列を持たない並列スペックカード（グループ入れ子可）,2,表を組まず、同じ順序の仕様行を持つ列を並べるだけで比較させる型。上位のグループが2つある場合（通学/オンライン等）は淡グレーの角丸パネル（radius 12〜16px、背景 #f4f6f8 程度、内側パディング24〜28px）を2枚横並びにし、その中にプラン列を2本ずつ入れて2×2の入れ子にする。グループが無ければプラン列を3本並べるだけでよい。パネル頭は「小さな色付きピルタグ（グループ識別色・白文字・12px・上下4px/左右12px）→ 2行の太い見出し（18〜20px・中央）→ 1行の説明（11〜12px・グレー・中央）」の三段で、何の比較かをここで確定させる。プラン列の頭は黒〜ダークグレーのベタ丸ピルに白文字のプラン名＋右端に小さな「›」を置き、これが列見出しであることを明示。以下の仕様行はテキスト1行のみ（12〜13px・中央揃え）を1pxの淡い横罫で区切り、縦罫は引かない。行の順序を全列で完全に揃えることが唯一の比較装置なので、該当のない列は空欄にせず必ず「なし」と書いて行数を合わせる。行高34〜40px、金額行は最後に置き太字＋一段大きく。列間16〜20px、パネル間24〜32px。,料金・受講形態など事実の並列で比較が成立する / 比較対象がすべて自社の選択肢（他社を叩かない見せ方をしたい） / 2軸（形態×プラン）で整理したい,自社と他社の優劣を見せたい（記号や色の役割分担が必要） / 列ごとに行数が揃わない（比較機能が壊れる） / 説明が1行に収まらない,グループタグ（色付きピル） / グループ見出し2行 / グループ説明1行 / プラン名（各列のピル） / 仕様行（全列同順・4〜6行） / 金額行,tanq_s08
compare/compare-before-after-arrow,compare,×→○の2面対比＋中央の太い矢印（感情つきビフォーアフター）,2,数値でなく状態の変化で見せる型。左＝否定側／右＝肯定側を横並び（幅比1:1、または右をやや広く1:1.1）にし、中央に幅36〜48pxの塗りの太い矢印（線の矢印にしない）を上下中央で絶対配置し、両面に少し重ねて橋を架ける。各面の頭に同じ高さ（32〜40px）の帯を敷き、左＝グレー地に濃グレー文字「一般的な◯◯では」、右＝ブランド色ベタに白文字「◯◯なら」。帯の角は上だけ丸める。面の中身は左右で順序を揃える：①大きな記号（×＝グレーの線画／○＝ブランド色の輪）を左に、その右に2行の結論（16〜18px太字、キーワードだけ黄色マーカー下線か色替え）②ビジュアル（左＝困っている人のイラスト＋吹き出し2つ／右＝製品スクショや使用シーン写真）③補足。地と枠で沈む面／浮く面を作る：左は枠なしのグレー地（#f2f2f2）、右は白地＋アクセント1〜2pxの枠。右面の中にだけ成果を示す小カード（白背景＋薄枠＋アクセント見出し）を1枚差し、左面には入れない——この非対称が説得力になる。面の外・下も形式を変え、左＝グレーの説明文（散文）、右＝アクセント記号付きの箇条書き2〜3項目にして「雑然 vs 整理」を形で見せる。章立てする場合は左端にアクセント色の縦長バッジ（上に小さく「違い」下に大きく番号）を置き、その右にグレー帯＋見出し文。帯はバッジより低くし、バッジが上下にはみ出す。,ビフォー側の困りごとに読み手が自分を重ねられる / 製品画面や使用シーンの画像がある / 同じ論点を「違い1・違い2…」と連番で積み上げたい,並べる項目が4つ以上（表にした方が速い） / 肯定側に見せる画像が用意できない（記号だけだと空疎になる） / 否定側の描写が特定の競合の中傷に読める書き方,章バッジ（違いN） / 章見出し / 否定側の帯ラベル / 否定側の結論2行 / 否定側のイラスト・吹き出し / 否定側の説明文 / 肯定側の帯ラベル / 肯定側の結論2行 / 肯定側のスクショ／写真 / 肯定側の成果カード / 肯定側の箇条書き,sho_risu_s09 sho_risu_s10
flow/flow-timeline-vertical-duration,flow,所要時間つき縦タイムライン（円写真＋時計ドーナツ）,1,4行前後を縦に積むタイムライン。各行は「左ブロック固定200〜240px＋右テキスト（残り、最大480px）」の2カラム。左ブロックの中で円を2つ重ねる：奥に円形トリミング写真（直径110〜130px）、その左手前に所要時間の円（直径70〜80px）を40%ほど食い込ませる。時間の円は時計の残量ドーナツ（リングの扇形を所要時間の比率だけ塗る＝10分と30分で塗り面積が変わる）にして、その円の下端に「10min」の濃色ピルバッジを半分重ねる。写真の円の上辺には角丸ピルの吹き出しラベル（下向きの小さな尻尾つき、Hello! / Warm Up! のような一言）を跨がせ、円の外に半分出す。右テキストは色付き太字の見出し1行（16〜18px）＋本文3〜4行（13〜14px／行間1.9）、行頭は全行で揃える。行と行の間隔は48〜64pxあけ、その中央に小さな三角（▼）を3つ縦に等間隔で並べる（矢印1本ではなく3つの点列にすることで「時間が流れている」含意が出る）。地色は極薄クリームか白、セクション上部に見出しを黄色ベタの角丸帯で1本置き、その下に注記1行（※以下は一例です）を小さく添える。,当日のタイムスケジュール・所要時間を見せたい / ステップが4つ以上で、各ステップに写真と3行以上の説明がある / 「何分で何をするか」を示して不安を消すのが目的,所要時間が言えない（ドーナツが嘘になる） / ステップ写真がない / ステップが2〜3で内容が薄い（横一列で足りる）,セクション見出し（帯） / 注記1行 / ステップ写真（円形トリミング）×4 / 所要時間（分）×4 / 吹き出しラベル（一言）×4 / ステップ見出し×4 / ステップ本文×4,sho_kidsduo_s08 sho_winbe_s07
flow/flow-photo-steps-horizontal,flow,写真主役の横一列3ステップ（間に手描き矢印・末尾or分岐）,1,セクション全面をブランド色のベタ地で塗り、前後の白セクションと面で切る（上余白64／下56）。中央にアイコン＋見出し1行。その下に3カラム等幅（gap 32〜40px）。各カラムは上から (a) 番号バッジ＝白丸に色数字の40px円と、その右にステップ名を横並び（中央揃え・左寄せ、ステップ名は1行に収める。長い場合は2行分の高さを全カラムで確保して写真の上端を揃える）、(b) 写真＝16:10前後の横長、カラム幅いっぱい、角丸は4px以下でほぼ直角、(c) 本文2〜4行（13〜14px／行間1.8／左寄せ）。カラム間のgap上、写真の縦中央に手描き風の矢印（幅40px前後、わずかに傾ける、線は緑などベタ地と補色寄り）を絶対配置で1本ずつ置く。写真がセクション高さの4割を占める比率を守り、テキストは詰める。最終ステップだけ2択にする場合は、そのカラム内で写真を2枚横に並べ（間8px）、境界に円形の「or」バッジを重ね、各写真の下に短い色ベタのラベル帯（白文字1行）を敷いてから説明を書く。写真をもたない案件では写真を線画アイコン＋薄グレー角丸面に差し替え、矢印を点線に落とす（ミニマル版）。,ステップが3つ（最大4） / 申込〜来校〜体験までの手続きの流れ / 各ステップに見せられる写真がある / 途中や末尾に「AかB」の分岐がある,ステップが5つ以上（1カラムが細くなり写真が潰れる） / 各ステップの説明が3行を超える / 写真の粒度がバラバラ（引きと寄りが混在）,セクション見出し / ステップ番号×3 / ステップ名×3 / ステップ写真×3 / ステップ本文×3 / （任意）末尾分岐の写真2枚＋ラベル帯,sho_shane_s04 sho_ripple_s09
